"","Date","Type","Price","Landsize","BuildingArea","Rooms","Bathroom","Car","YearBuilt","Distance","Regionname","Propertycount"
"1","3/09/2016","h",NA,126,NA,2,1,1,NA,"2.5","Northern Metropolitan","4019"
"2","3/12/2016","h",1480000,202,NA,2,1,1,NA,"2.5","Northern Metropolitan","4019"
"3","4/02/2016","h",1035000,156,79,2,1,0,1900,"2.5","Northern Metropolitan","4019"
"4","4/02/2016","u",NA,0,NA,3,2,1,NA,"2.5","Northern Metropolitan","4019"
"5","4/03/2017","h",1465000,134,150,3,2,0,1900,"2.5","Northern Metropolitan","4019"
"6","4/03/2017","h",850000,94,NA,3,2,1,NA,"2.5","Northern Metropolitan","4019"
"7","4/06/2016","h",1600000,120,142,4,1,2,2014,"2.5","Northern Metropolitan","4019"
"8","6/08/2016","h",NA,400,220,4,2,2,2006,"2.5","Northern Metropolitan","4019"
"9","6/08/2016","h",NA,201,NA,2,1,2,1900,"2.5","Northern Metropolitan","4019"
"10","6/08/2016","h",NA,202,NA,2,2,1,1900,"2.5","Northern Metropolitan","4019"
"11","7/05/2016","h",941000,181,NA,2,1,0,NA,"2.5","Northern Metropolitan","4019"
"12","7/05/2016","h",1876000,245,210,3,2,0,1910,"2.5","Northern Metropolitan","4019"
"13","7/11/2016","u",NA,4292,82,2,2,1,2009,"2.5","Northern Metropolitan","4019"
"14","7/11/2016","h",NA,230,147,4,2,0,1860,"2.5","Northern Metropolitan","4019"
"15","8/10/2016","h",1636000,256,107,2,1,2,1890,"2.5","Northern Metropolitan","4019"
"16","8/10/2016","h",1000000,NA,NA,3,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"17","8/10/2016","t",745000,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"18","8/10/2016","u",300000,0,NA,1,1,1,NA,"2.5","Northern Metropolitan","4019"
"19","8/10/2016","h",1097000,220,75,2,1,2,1900,"2.5","Northern Metropolitan","4019"
"20","8/10/2016","u",542000,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"21","10/12/2016","h",NA,176,80,2,1,1,1925,"2.5","Northern Metropolitan","4019"
"22","10/12/2016","u",760000,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"23","10/12/2016","u",481000,NA,NA,1,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"24","12/11/2016","u",700000,0,NA,2,2,1,NA,"2.5","Northern Metropolitan","4019"
"25","12/11/2016","h",1350000,214,190,3,2,2,2005,"2.5","Northern Metropolitan","4019"
"26","12/11/2016","u",750000,0,94,2,2,1,2009,"2.5","Northern Metropolitan","4019"
"27","12/11/2016","h",1985000,NA,NA,4,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"28","12/11/2016","u",500000,NA,NA,1,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"29","13/08/2016","h",1172500,195,NA,2,1,1,NA,"2.5","Northern Metropolitan","4019"
"30","14/05/2016","u",441000,0,NA,1,1,1,NA,"2.5","Northern Metropolitan","4019"
"31","15/10/2016","h",1310000,238,97,2,1,2,1890,"2.5","Northern Metropolitan","4019"
"32","16/04/2016","u",NA,0,129,3,2,2,2010,"2.5","Northern Metropolitan","4019"
"33","16/07/2016","h",1200000,113,110,3,2,1,1880,"2.5","Northern Metropolitan","4019"
"34","16/07/2016","t",847000,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"35","16/07/2016","h",NA,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"36","16/07/2016","h",1176500,138,105,3,1,1,1890,"2.5","Northern Metropolitan","4019"
"37","17/09/2016","h",955000,183,NA,3,1,0,NA,"2.5","Northern Metropolitan","4019"
"38","17/09/2016","h",890000,150,73,2,1,1,1985,"2.5","Northern Metropolitan","4019"
"39","18/03/2017","h",1330000,780,135,4,2,2,1900,"2.5","Northern Metropolitan","4019"
"40","18/03/2017","h",NA,119,167,3,2,1,2005,"2.5","Northern Metropolitan","4019"
"41","18/03/2017","t",900000,0,NA,3,2,2,2010,"2.5","Northern Metropolitan","4019"
"42","18/03/2017","u",1090000,4290,27,3,2,2,NA,"2.5","Northern Metropolitan","4019"
"43","18/06/2016","u",500000,0,60,2,1,1,1970,"2.5","Northern Metropolitan","4019"
"44","18/06/2016","h",1100000,124,135,2,2,1,2013,"2.5","Northern Metropolitan","4019"
"45","19/11/2016","h",1315000,147,85,2,1,0,1900,"2.5","Northern Metropolitan","4019"
"46","19/11/2016","u",480000,NA,NA,1,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"47","22/05/2016","u",423500,NA,NA,1,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"48","22/05/2016","h",NA,NA,NA,4,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"49","22/08/2016","u",426000,0,NA,1,1,1,NA,"2.5","Northern Metropolitan","4019"
"50","22/08/2016","h",1447500,166,174,3,3,1,2012,"2.5","Northern Metropolitan","4019"
"51","22/08/2016","u",457000,0,50,1,1,1,NA,"2.5","Northern Metropolitan","4019"
"52","22/08/2016","h",1135000,98,128,2,2,2,1920,"2.5","Northern Metropolitan","4019"
"53","23/04/2016","h",700000,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"54","24/09/2016","h",1542000,0,NA,4,3,1,NA,"2.5","Northern Metropolitan","4019"
"55","25/02/2017","t",962000,NA,NA,3,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"56","25/02/2017","h",1290000,147,18,3,2,2,NA,"2.5","Northern Metropolitan","4019"
"57","25/02/2017","h",1290000,168,124,3,1,1,1950,"2.5","Northern Metropolitan","4019"
"58","26/07/2016","u",470000,0,50,1,1,1,2013,"2.5","Northern Metropolitan","4019"
"59","27/11/2016","h",1180000,162,91,2,1,0,1900,"2.5","Northern Metropolitan","4019"
"60","27/11/2016","h",1195000,120,128,3,2,1,1998,"2.5","Northern Metropolitan","4019"
"61","28/05/2016","u",NA,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
"62","28/05/2016","h",1012500,182,82,2,1,0,1900,"2.5","Northern Metropolitan","4019"
"63","28/05/2016","u",970000,NA,NA,2,NA,NA,NA,"2.5","Northern Metropolitan","4019"
